Epoch 000 | Iter 000000 | Step 0000001 | G-Cycle: 1.0537 | G-L1: 0.8670 | G-Adv: 78.7609 | Gc-Adv: 2.2147 | G-Sum: 81.9360 | D: 2.6744 | Dc: 3.6398
Epoch 000 | Iter 000100 | Step 0000101 | G-Cycle: 0.5054 | G-L1: 0.3705 | G-Adv: 2.8178 | Gc-Adv: 1.4919 | G-Sum: 4.7476 | D: 3.7329 | Dc: 2.8430
Epoch 000 | Iter 000000 | Step 0000001 | G-Cycle: 1.0644 | G-L1: 0.8362 | G-Adv: 35.1362 | Gc-Adv: 2.2291 | G-Sum: 38.3156 | D: 2.7377 | Dc: 3.6385
Epoch 000 | Iter 000100 | Step 0000101 | G-Cycle: 0.4055 | G-L1: 0.2855 | G-Adv: 1.5760 | Gc-Adv: 1.4882 | G-Sum: 3.4097 | D: 3.3441 | Dc: 2.8561
Epoch 000 | Iter 000200 | Step 0000201 | G-Cycle: 0.4219 | G-L1: 0.2639 | G-Adv: 2.5173 | Gc-Adv: 1.4536 | G-Sum: 4.3137 | D: 3.7074 | Dc: 3.1130
Epoch 000 | Iter 000300 | Step 0000301 | G-Cycle: 0.3741 | G-L1: 0.3370 | G-Adv: 1.0828 | Gc-Adv: 1.4952 | G-Sum: 2.9335 | D: 17.4617 | Dc: 2.7038
Epoch 000 | Iter 000400 | Step 0000401 | G-Cycle: 0.2905 | G-L1: 0.3437 | G-Adv: 4.1067 | Gc-Adv: 1.4220 | G-Sum: 5.8457 | D: 2.7978 | Dc: 2.8433
Epoch 000 | Iter 000500 | Step 0000501 | G-Cycle: 0.3234 | G-L1: 0.2806 | G-Adv: 1.2821 | Gc-Adv: 1.3773 | G-Sum: 2.9614 | D: 2.8491 | Dc: 2.9081
Epoch 000 | Iter 000600 | Step 0000601 | G-Cycle: 0.2800 | G-L1: 0.2117 | G-Adv: 1.3036 | Gc-Adv: 1.4607 | G-Sum: 3.0101 | D: 2.7753 | Dc: 2.7721
Epoch 000 | Iter 000700 | Step 0000701 | G-Cycle: 0.2503 | G-L1: 0.2656 | G-Adv: 0.6111 | Gc-Adv: 1.4606 | G-Sum: 2.3297 | D: 3.0215 | Dc: 2.7744
Epoch 000 | Iter 000800 | Step 0000801 | G-Cycle: 0.2608 | G-L1: 0.1995 | G-Adv: 1.5301 | Gc-Adv: 1.5039 | G-Sum: 3.2641 | D: 5.2715 | Dc: 2.6356
